,lumber,oil,dollar-index,spy_futures,vix,ten year bond,three year bond,macro_csv\ACDGNO.csv,macro_csv\ADXTNO.csv,macro_csv\ANDENO.csv,macro_csv\AWHMAN.csv,macro_csv\CMRMTSPL.csv,macro_csv\commodity-price-index-300.csv,macro_csv\energy-price-index-300.csv,macro_csv\FF.csv,macro_csv\food-and-beverage-price-index-300.csv,macro_csv\industrial-inputs-price-index-300.csv,macro_csv\IPBUSEQ.csv,macro_csv\IPMAT.csv,macro_csv\IPMINE.csv,macro_csv\IPUTIL.csv,macro_csv\metals-price-index-300.csv,macro_csv\NEWORDER.csv,macro_csv\NPPTTL.csv,macro_csv\PERMIT.csv,macro_csv\PERMIT1.csv,macro_csv\PERMIT5.csv,macro_csv\T10YIE.csv,macro_csv\TCU.csv,macro_csv\UEMPMEAN.csv,real_interest_rate,inflation_consumer_prices_annual,gdp_growth_annual,debt_percent_gdp,net_trades_goods_services,exports_of_goods_services_percent_gdp,imports_of_goods_services_percent_gdp,gni_usd,market_cap_domestic_companies_percent_gdp,merchandise_trade_percent_gdp,labels
2013-12-24,0.1364779874213835,-0.0974417936188559,-0.0300502672357912,0.0831949267703457,0.0463836588209212,0.2021881838074397,1.7230948225712623,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,0.13647795,1.3071,2.0693,2.2495,94.1634,-525907000000.0,13.692,17.0977,16565408339984.7,115.2579,23.9688,1
2013-12-26,0.1197380729653883,-0.0851063829787235,-0.0274539484124561,0.0834342822531799,0.0014936149048965,0.2028415300546449,1.8305084745762712,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,0.1197381,1.3071,2.0693,2.2495,94.1634,-525907000000.0,13.692,17.0977,16565408339984.7,115.2579,23.9688,1
2013-12-27,0.1180663154632786,-0.1021987354911767,-0.020873447062142,0.0852583586626138,0.0194174211009019,0.2366241325274234,1.973603437691836,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,0.11806619,1.3071,2.0693,2.2495,94.1634,-525907000000.0,13.692,17.0977,16565408339984.7,115.2579,23.9688,1
2013-12-30,0.1122293382128698,-0.1231740646498915,-0.0262535334295801,0.0783096031505603,0.0223048472110911,0.2353866906474819,1.9656441717791409,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,0.11222935,1.3071,2.0693,2.2495,94.1634,-525907000000.0,13.692,17.0977,16565408339984.7,115.2579,23.9688,1
2013-12-31,0.1293345829428303,-0.1212206309089207,-0.0142477249993899,0.0960892147876566,0.02627512856363,0.2423347717465365,1.9809815950920249,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,0.12933457,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-02,0.1674718196457327,-0.1225081890500701,-0.0158172231985941,0.0885330110288562,0.0792988981001341,0.1826068098026458,2.0543272267845865,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,0.16747177,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-03,0.1842959117456197,-0.1256871331407807,-0.0106664380709788,0.0848630755341559,0.1207770512454953,0.1533417935702201,1.9281288723667904,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,0.1842959,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-06,0.176968119713728,-0.1342825237297598,-0.0093946362037798,0.0893153997279734,-0.0039308325224227,0.1381537820379244,2.0481550969355844,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,0.1769681,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-07,0.2083888149134487,-0.1265206812652067,-0.0021350907722117,0.1080915092891141,0.0716487163308137,0.1320008328128254,1.9516908212560389,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,0.2083888,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-08,0.2200399467376832,-0.107125868138141,0.0026734015030183,0.1052228518915607,0.0133542876989043,0.1964050854888206,2.041062801932367,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,0.22003996,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-09,0.224630541871921,-0.0809821858449686,-0.0021382751247326,0.0995875973728426,-0.0656226789302121,0.2365249033431884,2.0863526570048307,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,0.22463048,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-10,0.2185560274420124,-0.0970198990764543,-0.0068813787202836,0.0982375478927202,0.0007805835191236,0.3042649511555872,2.0588235294117645,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,0.21855605,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-13,0.1948136142625609,-0.1158616801353128,-0.0094791946965433,0.0931970713849907,0.017059303898343,0.3222168905950096,2.356683804627249,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,0.19481361,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-14,0.170145477545857,-0.1155589123867069,-0.0014900193333086,0.0789234956153612,-0.0513803740992293,0.2840167753960858,2.838779956427015,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,0.17014539,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-15,0.1616318903768294,-0.1532886891110908,-0.0048589669467237,0.0919540229885058,-0.1724372057561789,0.2849148985777572,2.7094076655052266,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,0.16163182,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-16,0.1324074074074073,-0.1578564940962761,-0.0053408811223235,0.0940429392198367,-0.0883785326515989,0.2444595205789237,2.5869272237196768,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,0.13240743,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-17,0.1253869969040246,-0.1376838235294117,-0.0023475918649763,0.0802875973636907,-0.1132450327779749,0.1986436228396413,2.537735849056604,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,0.12538695,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,-1
2014-01-21,0.1484620213433771,-0.1078495123084068,-0.0006279009640126,0.0583952451708766,-0.1012743289292469,0.1969069919407535,2.56266846361186,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,0.14846194,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
2014-01-22,0.1420454545454545,-0.1044776119402985,-0.0050778231592891,0.0510732790525536,-0.2057716323285071,0.1953671328671329,2.619986403806934,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,0.1420455,1.4693,1.4648,1.8421,96.0756,-446857000000.0,13.6253,16.4814,17061277885983.5,143.1937,23.2868,1
